index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2014-12-06,2.5711532,2.460578,2.134164,2.0397234,1.8651347,1.9548315,1.7687612,1.822226,1.9159573,1.8095984,1.8490386,1.6988716,1.6775732,1.6172779,1.5568824,1.6192548,1.5681164,1.7223406,1.5006511
2014-12-07,2.5188935,2.420829,2.0822563,2.1598155,1.9990332,1.9723258,1.8739173,1.7395232,1.877358,1.7762315,1.8302486,1.8426208,1.6915817,1.5467238,1.5909626,1.6171098,1.6552355,1.5648935,1.5983024
2014-12-08,2.8299963,2.6021323,2.3621697,2.4473338,2.1381252,2.2877207,1.8907427,1.8950772,1.9313906,1.8251991,1.9487672,1.8169823,1.7111857,1.704155,1.6296883,1.7241259,1.6550648,1.6991553,1.7597687
2014-12-09,2.6394506,2.4269352,2.2019334,2.1816819,1.9485447,1.9917899,1.8768318,1.7742205,1.8396144,1.7768466,1.7457654,1.6522145,1.6490476,1.6074271,1.4913867,1.6003232,1.559911,1.6926959,1.5498714
2014-12-10,2.4166706,2.2564998,2.005325,2.0490382,1.8715508,1.8615091,1.8569539,1.6866839,1.8023612,1.6937237,1.5778856,1.6317255,1.646142,1.590112,1.4917183,1.5280547,1.5100343,1.5814319,1.526351
2014-12-11,2.6344137,2.3606138,2.0153432,2.2821474,1.8714583,1.922963,1.8011515,1.7719758,1.6291931,1.7111373,1.6783319,1.6293557,1.500488,1.6997085,1.5180614,1.4757335,1.3753431,1.5563579,1.5740297
2014-12-12,2.408188,2.2689784,1.9187268,1.8863755,1.7013247,1.7293861,1.812099,1.7366674,1.7484024,1.7684779,1.5610816,1.5486166,1.6188881,1.6802521,1.5101299,1.481277,1.3725307,1.6727929,1.4161139
2014-12-13,2.4238443,2.3116465,1.850174,1.8851417,1.6855288,1.762938,1.717449,1.7786682,1.7877789,1.8674879,1.7196946,1.5653157,1.7718334,1.7817945,1.6443765,1.6700666,1.5106437,1.8548748,1.6112208
2014-12-14,2.235785,2.0076575,1.6383188,1.7656412,1.533406,1.6196053,1.4540956,1.5200245,1.5139265,1.5866716,1.5368001,1.4944639,1.4642901,1.5399852,1.485925,1.5348258,1.3932316,1.6146207,1.5896566
2014-12-15,2.09154,1.759774,1.5570221,1.5675292,1.508296,1.7510054,1.2153552,1.4802725,1.2117653,1.5769615,1.4304211,1.4491267,1.1805346,1.4139409,1.4439142,1.4252675,1.3095121,1.6332409,1.645438
2014-12-16,2.0082126,1.8273671,1.6659758,1.5496066,1.511806,1.6261966,1.2545955,1.3743575,1.3936956,1.3824003,1.4139929,1.4227333,1.1408026,1.2025149,1.2344882,1.3801563,1.3178279,1.4309921,1.4212015
2014-12-17,1.9333556,1.7950003,1.5432856,1.4571447,1.4770346,1.5547478,1.2320366,1.3336372,1.357305,1.4259427,1.3872187,1.386225,1.2272763,1.2468381,1.2558966,1.3946276,1.2896891,1.4881968,1.4613721
2014-12-18,1.8568146,1.6337903,1.5099797,1.4631717,1.3289497,1.5519295,1.1880982,1.3107653,1.472657,1.2470896,1.309196,1.2183821,1.277873,1.3159862,1.2998955,1.4837425,1.3196211,1.6173086,1.4770024
2014-12-19,1.6581743,1.4460022,1.0642033,1.2367542,1.1701975,1.1370342,1.1950495,1.1877947,1.2817245,1.3454287,1.2151513,1.3493941,1.3681581,1.4115882,1.4526763,1.4841807,1.3615925,1.6068265,1.5727844
2014-12-20,1.689795,1.5779753,1.2875395,1.3052588,1.3102331,1.3070111,1.2847738,1.2416933,1.4139762,1.339601,1.2925911,1.3919797,1.3205786,1.337265,1.3359172,1.4068406,1.3462772,1.5083146,1.4890032
2014-12-21,1.7784617,1.5095468,1.2671497,1.351058,1.2624176,1.316189,1.0509913,1.2016492,1.2107575,1.1841547,1.356693,1.2989895,1.0289965,1.1489036,1.2878065,1.4144163,1.3545263,1.4691224,1.45294
2014-12-22,1.6699724,1.4558947,1.2388988,1.3320744,1.1890285,1.4773557,0.9645524,1.1804576,1.3572869,1.1386769,1.3314147,1.3225124,1.1560597,1.2699647,1.3496213,1.4208062,1.3319027,1.4913716,1.586204
2014-12-23,1.613816,1.2664607,0.9296622,1.3230579,1.0350785,1.1458855,0.6999023,0.9965067,0.83209634,0.74755406,1.1842456,1.1978955,0.57871103,1.0032551,1.131207,1.0625889,1.0666268,1.0735343,1.3834367
2014-12-24,1.3865902,1.1883714,0.8034632,1.0780003,0.930454,0.9503994,0.9120147,1.0321274,1.0849836,1.047502,1.0801957,1.2280791,1.0093038,1.199955,1.2255065,1.1467588,1.0947797,1.2464786,1.4352591
2014-12-25,2.0923798,1.3663964,1.3548574,1.7144749,1.5627766,2.00601,1.1862416,1.6803026,1.1237507,1.157995,1.7331376,1.5881436,0.59049153,1.2503388,1.335571,1.0939176,1.0166879,1.0088131,1.2680116
2014-12-26,2.1401067,1.3277619,1.2799611,1.9888301,1.64587,2.1887937,1.2182989,2.0281606,1.2600338,1.1417577,1.903214,1.6009293,0.5961952,1.5653234,1.5705016,1.2745543,0.99651575,0.97184825,1.3770573
2014-12-27,1.4487283,1.0737972,0.6208961,1.3020823,0.7692535,0.93227816,0.567636,0.92839456,0.8451462,0.6191523,1.1512897,1.1110544,0.6621485,1.1648192,1.2831087,1.175425,1.0780385,1.1728723,1.5397742
2014-12-28,1.4917679,1.3115535,0.996578,1.3429492,1.0503466,1.2654626,0.98920107,1.0869889,1.2668498,0.98378015,1.2137592,1.2971811,1.0553188,1.279582,1.2775192,1.1699617,1.1416023,1.2820494,1.4671736
