index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2011-01-11,29.17456,28.796164,26.811306,24.163712,23.446562,23.584621,22.532751,20.9751,19.435843,18.436289,17.93252,15.285338,13.588826,14.809869,11.941144,12.741553,12.535519,10.202396,10.047657
2011-01-12,29.499975,28.292828,27.36277,24.888248,24.948063,24.90788,23.19118,21.825348,20.394102,19.441296,18.83753,16.385727,14.810948,15.09284,13.451965,14.156626,13.143443,10.461645,10.729252
2011-01-13,29.187515,28.124033,27.088802,25.01138,24.590164,24.600632,23.236303,21.527113,19.833324,19.021908,18.309183,16.02194,14.173008,14.98627,13.279517,13.365646,12.668446,9.722356,10.343382
2011-01-14,28.209291,28.235928,26.166489,23.925474,23.103222,23.104137,21.889685,20.154274,19.651592,18.483303,17.874569,15.771092,14.192123,15.051447,12.092397,12.528455,12.582422,10.392624,10.326547
2011-01-15,27.468845,27.839043,25.202305,23.492748,22.263968,22.379766,21.489685,19.741816,19.959581,18.450294,18.014132,15.671068,14.232147,15.223513,12.4158535,12.295541,12.591514,10.904423,10.566589
2011-01-16,29.53658,29.538467,27.321161,25.597416,24.215399,24.73375,23.334005,21.627645,21.62646,20.3336,19.71482,17.061277,15.818516,16.689577,14.100967,13.463681,13.350563,11.917332,11.591452
2011-01-17,29.311867,28.977629,26.775806,25.049713,23.62328,24.123142,22.695751,20.770206,19.976635,18.772291,17.989122,15.944432,14.440498,15.105829,12.677869,12.41509,12.037055,10.285024,10.480158
2011-01-18,28.754974,28.877113,26.342186,24.531538,23.035067,23.57624,22.234005,20.653957,19.766056,18.48617,17.94212,15.554738,14.088226,14.908045,12.429922,12.211898,12.045335,10.488487,10.240781
2011-01-19,28.90461,29.173344,26.595322,25.051056,23.395435,23.926376,22.654318,21.271343,20.123472,19.203182,18.555107,16.060892,14.67205,15.434984,13.209389,12.924082,12.446824,11.126305,10.830612
2011-01-20,28.8873,29.380108,26.741402,25.282156,23.465187,24.043215,22.689728,21.246239,20.19351,19.272202,18.59684,16.19592,14.667209,15.514148,13.124718,12.894552,12.509931,11.229355,10.808218
2011-01-21,28.992073,29.400406,26.867844,25.165443,23.602623,24.047674,22.715368,21.452387,20.157507,19.368599,18.77296,16.176725,14.760503,15.538884,13.192708,13.313371,12.806741,11.286016,10.899994
2011-01-22,27.532696,28.038052,25.145355,23.811115,22.162043,23.01857,21.57941,20.319843,18.793495,17.93888,17.320435,15.247396,13.904988,14.142305,11.876463,12.002406,11.817759,9.855753,9.818996
2011-01-23,27.526928,27.47908,24.96102,23.571398,22.08285,22.658207,21.23777,19.987226,18.33176,17.44525,16.89057,14.757872,13.595374,13.644172,11.975597,12.253724,11.44911,9.958055,9.892714
2011-01-24,26.952702,27.45822,24.690962,23.37677,21.764284,22.118176,20.807606,19.406033,18.640425,17.422838,17.028273,15.063753,13.772711,13.935456,12.050552,12.072835,11.667488,10.681868,10.105789
2011-01-25,28.441645,28.846245,26.575573,25.10014,23.643711,24.122314,22.637346,21.416985,20.89061,19.769167,19.183071,16.919897,15.429364,16.225128,13.792585,13.673442,13.257858,11.941856,11.654641
